True\Pred,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Total,MCC,Sensitivity
Cytoplasm,489,272,13,14,34,6,7,12,3,12,862,-0.3586,0.1400
Nucleus,196,952,4,11,21,5,12,5,0,1,1207,-0.2431,0.2601
Extracellular,27,3,449,19,13,1,22,6,2,0,542,-0.1803,0.1093
Cell membrane,51,24,9,281,11,3,56,31,8,0,474,-0.2952,0.0712
Mitochondrion,33,21,0,3,350,9,12,2,0,3,433,-0.3263,0.0859
Plastid,9,3,0,0,14,171,1,3,0,0,201,-0.2298,0.0406
Endoplasmic reticulum,25,5,24,39,9,1,135,18,21,0,277,-0.4662,0.0339
Lysosome/Vacuole,37,11,15,25,3,0,16,22,12,0,141,-0.5585,0.0054
Golgi apparatus,14,11,2,18,2,0,11,7,21,1,87,-0.5217,0.0051
Peroxisome,9,3,0,0,4,1,2,0,0,25,44,-0.4320,0.0059
Total,890,1305,516,410,461,197,274,106,67,42,,,
